name,attribute,class,type,ban_tcg,ban_ocg
Eye of the Void,NA,Normal,Trap Card,NA,NA
Eyearmor,EARTH,Warrior,Normal Monster,NA,NA
F.A. Auto Navigator,WIND,Machine,Tuner Monster,NA,NA
F.A. Circuit Grand Prix,NA,Field,Spell Card,NA,NA
F.A. City Grand Prix,NA,Field,Spell Card,NA,NA
F.A. Dark Dragster,DARK,Machine,Effect Monster,NA,NA
F.A. Dawn Dragster,LIGHT,Machine,Synchro Monster,NA,NA
F.A. Dead Heat,NA,Continuous,Trap Card,NA,NA
F.A. Downforce,NA,Quick-Play,Spell Card,NA,NA
F.A. Hang On Mach,WIND,Machine,Effect Monster,NA,NA
F.A. Motorhome Transport,LIGHT,Machine,Synchro Monster,NA,NA
F.A. Off-Road Grand Prix,NA,Field,Spell Card,NA,NA
F.A. Overheat,NA,Normal,Trap Card,NA,NA
F.A. Pit Stop,NA,Quick-Play,Spell Card,NA,NA
F.A. Shining Star GT,LIGHT,Machine,Link Monster,NA,NA
F.A. Sonic Meister,WIND,Machine,Effect Monster,NA,NA
F.A. Test Run,NA,Quick-Play,Spell Card,NA,NA
F.A. Turbo Charger,WIND,Machine,Effect Monster,NA,NA
F.A. Whip Crosser,WIND,Machine,Effect Monster,NA,NA
F.A. Winners,NA,Continuous,Spell Card,NA,NA
Fabled Andwraith,LIGHT,Fiend,Synchro Monster,NA,NA
Fabled Ashenveil,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Dianaira,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Dyf,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Gallabas,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Grimro,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Krus,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Kushano,LIGHT,Fiend,Tuner Monster,NA,NA
Fabled Leviathan,LIGHT,Fiend,Synchro Monster,NA,NA
Fabled Lurrie,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Marcosia,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Miztoji,LIGHT,Fiend,Tuner Monster,NA,NA
Fabled Oltro,LIGHT,Fiend,Tuner Monster,NA,NA
Fabled Ragin,LIGHT,Fiend,Synchro Monster,NA,NA
Fabled Raven,LIGHT,Fiend,Tuner Monster,NA,NA
Fabled Soulkius,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Topi,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Treason,NA,Normal,Trap Card,NA,NA
Fabled Urustos,LIGHT,Fiend,Effect Monster,NA,NA
Fabled Valkyrus,LIGHT,Fiend,Synchro Monster,NA,NA
Face-Off,NA,Counter,Trap Card,NA,NA
Factory of 100 Machines,NA,Quick-Play,Spell Card,NA,NA
Fadoremichord Fancea,FIRE,Fairy,Pendulum Effect Monster,NA,NA
Fairy Archer,LIGHT,Fairy,Effect Monster,NA,NA
Fairy Archer Ingunar,EARTH,Plant,Effect Monster,NA,NA
Fairy Box,NA,Continuous,Trap Card,NA,NA
Fairy Cheer Girl,LIGHT,Fairy,XYZ Monster,NA,NA
Fairy Dragon,WIND,Dragon,Normal Monster,NA,NA
Fairy Guardian,WIND,Fairy,Effect Monster,NA,NA
Fairy King Albverdich,EARTH,Plant,XYZ Monster,NA,NA
Fairy King Truesdale,WATER,Plant,Effect Monster,NA,NA
Fairy Knight Ingunar,EARTH,Plant,XYZ Monster,NA,NA
Fairy Meteor Crush,NA,Equip,Spell Card,NA,NA
Fairy of the Fountain,WATER,Aqua,Normal Monster,NA,NA
Fairy of the Spring,NA,Normal,Spell Card,NA,NA
Fairy Tail,NA,Continuous,Spell Card,NA,NA
Fairy Tail - Luna,LIGHT,Spellcaster,Effect Monster,NA,NA
Fairy Tail - Rella,LIGHT,Spellcaster,Effect Monster,NA,NA
Fairy Tail - Rochka,LIGHT,Spellcaster,Effect Monster,NA,NA
Fairy Tail - Sleeper,LIGHT,Spellcaster,Flip Effect Monster,NA,NA
Fairy Tail - Snow,LIGHT,Spellcaster,Effect Monster,Banned,NA
Fairy Wind,NA,Normal,Trap Card,NA,NA
Fairy's Gift,LIGHT,Spellcaster,Normal Monster,NA,NA
Fairy's Hand Mirror,NA,Normal,Trap Card,NA,NA
Fairywitch,DARK,Spellcaster,Normal Monster,NA,NA
Faith Bird,WIND,Winged Beast,Normal Monster,NA,NA
Fake Explosion,NA,Normal,Trap Card,NA,NA
Fake Feather,NA,Normal,Trap Card,NA,NA
Fake Hero,NA,Normal,Spell Card,NA,NA
Fake Trap,NA,Normal,Trap Card,NA,NA
Falchion Beta,LIGHT,Machine,Effect Monster,NA,NA
Fallen Angel of Roses,EARTH,Plant,Effect Monster,NA,NA
Fallen of Albaz,DARK,Dragon,Effect Monster,NA,NA
Fallen Paradise,NA,Field,Spell Card,NA,NA
Falling Current,NA,Normal,Spell Card,NA,NA
Falling Down,NA,Equip,Spell Card,NA,NA
Familiar Knight,DARK,Warrior,Effect Monster,NA,NA
Familiar-Possessed - Aussa,EARTH,Spellcaster,Effect Monster,NA,NA
Familiar-Possessed - Dharc,DARK,Spellcaster,Effect Monster,NA,NA
Familiar-Possessed - Eria,WATER,Spellcaster,Effect Monster,NA,NA
Familiar-Possessed - Hiita,FIRE,Spellcaster,Effect Monster,NA,NA
Familiar-Possessed - Lyna,LIGHT,Spellcaster,Effect Monster,NA,NA
Familiar-Possessed - Wynn,WIND,Spellcaster,Effect Monster,NA,NA
"Fandora, the Flying Furtress",NA,Field,Spell Card,NA,NA
Fantastic Striborg,WIND,Machine,Effect Monster,NA,NA
Fantastical Dragon Phantazmay,DARK,Dragon,Effect Monster,NA,NA
"Farfa, Malebranche of the Burning Abyss",DARK,Fiend,Effect Monster,NA,NA
Farm Delivery,NA,Normal,Trap Card,NA,NA
Fatal Abacus,NA,Continuous,Trap Card,NA,NA
Fateful Hour,NA,Normal,Trap Card,NA,NA
Faustian Bargain,NA,Normal,Spell Card,NA,NA
Favorite Hero,NA,Equip,Spell Card,NA,NA
Fear from the Dark,DARK,Zombie,Effect Monster,NA,NA
Feast of the Wild LV5,NA,Normal,Spell Card,NA,NA
Feather Shot,NA,Normal,Spell Card,NA,NA
Feather Wind,NA,Counter,Trap Card,NA,NA
Featherizer,WIND,Spellcaster,Effect Monster,NA,NA
Feedback Warrior,EARTH,Warrior,Effect Monster,NA,NA
"Feedran, the Winds of Mischief",WIND,Dragon,Effect Monster,NA,NA
Felgrand Dragon,LIGHT,Dragon,Effect Monster,NA,NA
"Felis, Lightsworn Archer",LIGHT,Beast-Warrior,Tuner Monster,NA,NA
Fencing Fire Ferret,FIRE,Beast,Effect Monster,NA,NA
Fenghuang,FIRE,Winged Beast,Spirit Monster,NA,NA
Fengsheng Mirror,NA,Normal,Spell Card,NA,NA
Fenrir,WATER,Beast,Effect Monster,NA,NA
Fenrir the Nordic Wolf,DARK,Beast,Effect Monster,NA,NA
Feral Imp,DARK,Fiend,Normal Monster,NA,NA
Ferocious Flame Swordsman,FIRE,Warrior,Link Monster,NA,NA
Ferret Flames,NA,Normal,Trap Card,NA,NA
Fiber Jar,EARTH,Plant,Flip Effect Monster,Banned,Banned
Field Barrier,NA,Continuous,Spell Card,NA,NA
Field-Commander Rahz,EARTH,Warrior,Effect Monster,NA,NA
Fiend Comedian,NA,Normal,Trap Card,NA,NA
Fiend Griefing,NA,Normal,Trap Card,NA,NA
Fiend Kraken,WATER,Aqua,Normal Monster,NA,NA
Fiend Reflection #1,WIND,Winged Beast,Normal Monster,NA,NA
Fiend Reflection #2,LIGHT,Winged Beast,Normal Monster,NA,NA
Fiend Scorpion,EARTH,Insect,Normal Monster,NA,NA
Fiend Skull Dragon,WIND,Dragon,Fusion Monster,NA,NA
Fiend Sword,DARK,Warrior,Normal Monster,NA,NA
Fiend's Hand,DARK,Zombie,Normal Monster,NA,NA
Fiend's Hand Mirror,NA,Normal,Trap Card,NA,NA
Fiend's Mirror,DARK,Fiend,Ritual Monster,NA,NA
Fiend's Sanctuary,NA,Normal,Spell Card,NA,NA
Fiendish Chain,NA,Continuous,Trap Card,NA,NA
Fiendish Engine Omega,DARK,Machine,Effect Monster,NA,NA
Fiendish Portrait,NA,Normal,Trap Card,NA,NA
Fiendish Rhino Warrior,EARTH,Fiend,Effect Monster,NA,NA
Fiery Fervor,NA,Normal,Trap Card,NA,NA
Fifth Hope,NA,Normal,Spell Card,NA,NA
Fighting Dirty,NA,Normal,Trap Card,NA,NA
Fighting Spirit,NA,Equip,Spell Card,NA,NA
"Filo, Messenger Fur Hire",WIND,Winged Beast,Effect Monster,NA,NA
Final Attack Orders,NA,Continuous,Trap Card,NA,NA
Final Countdown,NA,Normal,Spell Card,Limited,NA
Final Destiny,NA,Normal,Spell Card,NA,NA
Final Draw,NA,Yugi,Skill Card,NA,NA
Final Flame,NA,Normal,Spell Card,NA,NA
Final Fusion,NA,Normal,Trap Card,NA,NA
Final Geas,NA,Normal,Trap Card,NA,NA
Final Gesture,NA,Normal,Spell Card,NA,NA
Final Inzektion,NA,Normal,Spell Card,NA,NA
Final Light,NA,Normal,Spell Card,NA,NA
Final Psychic Ogre,EARTH,Psychic,Effect Monster,NA,NA
Final Ritual of the Ancients,NA,Ritual,Spell Card,NA,NA
Fine,NA,Normal,Trap Card,NA,NA
Finite Cards,NA,Continuous,Spell Card,NA,NA
Fire Ant Ascator,EARTH,Insect,Tuner Monster,NA,NA
Fire Cracker,FIRE,Fiend,Effect Monster,NA,NA
Fire Darts,NA,Normal,Trap Card,NA,NA
Fire Eye,FIRE,Pyro,Normal Monster,NA,NA
Fire Fighting Daruma Doll,FIRE,Beast-Warrior,Link Monster,NA,NA
Fire Flint Lady,FIRE,Warrior,Effect Monster,NA,NA
Fire Formation - Domei,NA,Continuous,Spell Card,NA,NA
Fire Formation - Gyokkou,NA,Continuous,Spell Card,NA,NA
Fire Formation - Ingen,NA,Continuous,Spell Card,NA,NA
Fire Formation - Kaiyo,NA,Continuous,Trap Card,NA,NA
Fire Formation - Tenken,NA,Continuous,Trap Card,NA,NA
Fire Formation - Tenki,NA,Continuous,Spell Card,NA,NA
Fire Formation - Tensen,NA,Continuous,Trap Card,NA,NA
Fire Formation - Tensu,NA,Continuous,Spell Card,NA,NA
Fire Formation - Yoko,NA,Continuous,Spell Card,NA,NA
Fire Fortress atop Liang Peak,NA,Field,Spell Card,NA,NA
Fire Hand,FIRE,Pyro,Effect Monster,NA,NA
Fire King Avatar Arvata,FIRE,Beast-Warrior,Effect Monster,NA,NA
Fire King Avatar Barong,FIRE,Beast-Warrior,Effect Monster,NA,NA
Fire King Avatar Garunix,FIRE,Winged Beast,Effect Monster,NA,NA
Fire King Avatar Kirin,FIRE,Beast,Effect Monster,NA,NA
Fire King Avatar Yaksha,FIRE,Beast-Warrior,Effect Monster,NA,NA
Fire King High Avatar Garunix,FIRE,Winged Beast,Effect Monster,NA,NA
Fire King Island,NA,Field,Spell Card,NA,NA
Fire Kraken,FIRE,Aqua,Normal Monster,NA,NA
Fire Lake of the Burning Abyss,NA,Normal,Trap Card,NA,NA
Fire Opalhead,FIRE,Dinosaur,Pendulum Normal Monster,NA,NA
Fire Phoenix @Ignister,FIRE,Cyberse,Link Monster,NA,NA
Fire Princess,FIRE,Pyro,Effect Monster,NA,NA
Fire Prison,NA,Field,Spell Card,NA,NA
Fire Reaper,DARK,Zombie,Normal Monster,NA,NA
Fire Sorcerer,FIRE,Spellcaster,Flip Effect Monster,NA,NA
Fire Trooper,FIRE,Warrior,Effect Monster,NA,NA
Fireball Token,FIRE,Pyro,Token,NA,NA
Firebird,FIRE,Winged Beast,Effect Monster,NA,NA
Firebrand Hymnist,FIRE,Pyro,Effect Monster,NA,NA
Firegrass,EARTH,Plant,Normal Monster,NA,NA
Fires of Doomsday,NA,Quick-Play,Spell Card,NA,NA
Firestorm Prominence,FIRE,Reptile,Effect Monster,NA,NA
Firewall,NA,Continuous,Trap Card,NA,NA
Firewall Dragon,LIGHT,Cyberse,Link Monster,NA,Semi-Limited
Firewall Dragon Darkfluid,DARK,Cyberse,Link Monster,NA,NA
Firewall eXceed Dragon,DARK,Cyberse,XYZ Monster,NA,NA
Firewall Guardian,DARK,Cyberse,Effect Monster,NA,NA
Firewing Pegasus,FIRE,Beast,Normal Monster,NA,NA
Fireyarou,FIRE,Pyro,Normal Monster,NA,NA
First of the Dragons,DARK,Dragon,Fusion Monster,NA,NA
First Step Towards Infestation,NA,Quick-Play,Spell Card,NA,NA
First-Aid Squad,NA,Normal,Trap Card,NA,NA
Fish and Kicks,NA,Normal,Spell Card,NA,NA
Fish and Swaps,NA,Normal,Spell Card,NA,NA
Fish Depth Charge,NA,Normal,Trap Card,NA,NA
Fish Rain,NA,Normal,Trap Card,NA,NA
Fishborg Archer,WATER,Fish,Tuner Monster,NA,NA
Fishborg Blaster,WATER,Fish,Tuner Monster,Banned,Banned
Fishborg Doctor,WATER,Fish,Effect Monster,NA,NA
Fishborg Launcher,WATER,Fish,Tuner Monster,NA,NA
Fishborg Planter,WATER,Fish,Effect Monster,NA,NA
Fissure,NA,Normal,Spell Card,NA,NA
Fist of Fate,NA,Quick-Play,Spell Card,NA,NA
Fists of the Unrivaled Tenyi,NA,Counter,Trap Card,NA,NA
Five Brothers Explosion,NA,Continuous,Trap Card,NA,NA
Five-Headed Dragon,DARK,Dragon,Fusion Monster,NA,NA
Five-Headed Link Dragon,DARK,Dragon,Link Monster,NA,NA
Flame Administrator,FIRE,Cyberse,Link Monster,NA,NA
Flame Armor Ninja,FIRE,Warrior,Effect Monster,NA,NA
Flame Bufferlo,FIRE,Cyberse,Effect Monster,NA,NA
Flame Cerebrus,FIRE,Pyro,Normal Monster,NA,NA
Flame Champion,FIRE,Pyro,Normal Monster,NA,NA
Flame Dancer,FIRE,Pyro,Normal Monster,NA,NA
Flame Ghost,DARK,Zombie,Fusion Monster,NA,NA
Flame Manipulator,FIRE,Spellcaster,Normal Monster,NA,NA
Flame Ogre,FIRE,Fiend,Effect Monster,NA,NA
Flame Ruler,FIRE,Pyro,Effect Monster,NA,NA
Flame Spirit Ignis,FIRE,Pyro,Effect Monster,NA,NA
Flame Swordsman,FIRE,Warrior,Fusion Monster,NA,NA
Flame Tiger,FIRE,Beast,Effect Monster,NA,NA
Flame Viper,EARTH,Pyro,Normal Monster,NA,NA
Flamvell Archer,FIRE,Pyro,Tuner Monster,NA,NA
Flamvell Baby,FIRE,Pyro,Tuner Monster,NA,NA
Flamvell Commando,FIRE,Pyro,Effect Monster,NA,NA
Flamvell Counter,NA,Counter,Trap Card,NA,NA
Flamvell Dragnov,FIRE,Dragon,Effect Monster,NA,NA
Flamvell Fiend,FIRE,Fiend,Effect Monster,NA,NA
Flamvell Firedog,FIRE,Beast,Effect Monster,NA,NA
Flamvell Grunika,FIRE,Dragon,Effect Monster,NA,NA
Flamvell Guard,FIRE,Dragon,Normal Tuner Monster,NA,NA
Flamvell Magician,FIRE,Spellcaster,Tuner Monster,NA,NA
Flamvell Poun,FIRE,Pyro,Effect Monster,NA,NA
Flamvell Uruquizas,FIRE,Pyro,Synchro Monster,NA,NA
Flare Resonator,FIRE,Fiend,Tuner Monster,NA,NA
Flash Assailant,DARK,Fiend,Effect Monster,NA,NA
Flash Charge Dragon,DARK,Dragon,Link Monster,NA,NA
Flash Fusion,NA,Quick-Play,Spell Card,NA,NA
Flash Knight,LIGHT,Warrior,Pendulum Normal Monster,NA,NA
Flash of the Forbidden Spell,NA,Normal,Spell Card,NA,NA
Flashbang,NA,Normal,Trap Card,NA,NA
Flawless Perfection of the Tenyi,NA,Field,Spell Card,NA,NA
Flelf,WIND,Spellcaster,Effect Monster,NA,NA
Fleur Synchron,LIGHT,Machine,Tuner Monster,NA,NA
Flick Clown,DARK,Cyberse,Effect Monster,NA,NA
Flight of the Harpies,NA,Mai,Skill Card,NA,NA
Flint,NA,Equip,Spell Card,NA,NA
Flint Cragger,EARTH,Rock,Effect Monster,NA,NA
Flint Lock,LIGHT,Machine,Effect Monster,NA,NA
Flint Missile,NA,Quick-Play,Spell Card,NA,NA
Flip Flop Frog,WATER,Aqua,Effect Monster,NA,NA
Flip Frozen,WATER,Cyberse,Effect Monster,NA,NA
Floodgate Trap Hole,NA,Normal,Trap Card,NA,NA
Flourishing Frolic,NA,Normal,Spell Card,NA,NA
Flower Cardian Boardefly,DARK,Warrior,Synchro Monster,NA,NA
Flower Cardian Cherry Blossom,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Cherry Blossom with Curtain,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Clover with Boar,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Lightflare,DARK,Warrior,Synchro Monster,NA,NA
Flower Cardian Lightshower,DARK,Warrior,Synchro Monster,NA,NA
Flower Cardian Maple with Deer,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Moonflowerviewing,DARK,Warrior,Synchro Tuner Monster,NA,NA
Flower Cardian Paulownia,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Paulownia with Phoenix,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Peony with Butterfly,DARK,Warrior,Tuner Monster,NA,NA
Flower Cardian Pine,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Pine with Crane,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Willow,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Willow with Calligrapher,DARK,Warrior,Tuner Monster,NA,NA
Flower Cardian Zebra Grass,DARK,Warrior,Effect Monster,NA,NA
Flower Cardian Zebra Grass with Moon,DARK,Warrior,Effect Monster,NA,NA
Flower Gathering,NA,Normal,Spell Card,NA,NA
Flower Stacking,NA,Normal,Spell Card,NA,NA
Flower Wolf,EARTH,Beast,Fusion Monster,NA,NA
Flowerbot,EARTH,Plant,Effect Monster,NA,NA
Fluff Token,WIND,Plant,Token,NA,NA
Fluffal Angel,LIGHT,Fairy,Pendulum Effect Monster,NA,NA
Fluffal Bear,EARTH,Fairy,Effect Monster,NA,NA
Fluffal Cat,EARTH,Fairy,Effect Monster,NA,NA
Fluffal Crane,NA,Normal,Trap Card,NA,NA
Fluffal Dog,EARTH,Fairy,Effect Monster,NA,NA
Fluffal Dolphin,WATER,Fairy,Effect Monster,NA,NA
Fluffal Leo,EARTH,Fairy,Effect Monster,NA,NA
Fluffal Mouse,EARTH,Fairy,Effect Monster,NA,NA
Fluffal Octopus,WATER,Fairy,Effect Monster,NA,NA
Fluffal Owl,EARTH,Fairy,Effect Monster,NA,NA
Fluffal Penguin,WATER,Fairy,Effect Monster,NA,NA
Fluffal Rabbit,EARTH,Fairy,Effect Monster,NA,NA
Fluffal Sheep,EARTH,Fairy,Effect Monster,NA,NA
Fluffal Wings,LIGHT,Fairy,Effect Monster,NA,NA
Flyfang,WIND,Fish,Effect Monster,NA,NA
"Flying ""C""",EARTH,Insect,Effect Monster,NA,NA
Flying Carp,WATER,Fish,Effect Monster,NA,NA
Flying Elephant,WIND,Beast,Effect Monster,NA,NA
Flying Fish,WIND,Fish,Normal Monster,NA,NA
Flying Fortress SKY FIRE,WIND,Machine,Effect Monster,NA,NA
Flying Kamakiri #1,WIND,Insect,Effect Monster,NA,NA
Flying Kamakiri #2,WIND,Insect,Normal Monster,NA,NA
Flying Pegasus Railroad Stampede,EARTH,Machine,Effect Monster,NA,NA
Flying Penguin,WATER,Aqua,Normal Monster,NA,NA
Flying Saucer Muusik'i,LIGHT,Machine,Effect Monster,NA,NA
Fog Control,NA,Quick-Play,Spell Card,NA,NA
Fog King,WATER,Spellcaster,Effect Monster,NA,NA
"Folgo, Justice Fur Hire",DARK,Beast,Link Monster,NA,NA
Follow Wind,NA,Equip,Spell Card,NA,NA
Follow Wing,NA,Continuous,Trap Card,NA,NA
Fool of Prophecy,EARTH,Spellcaster,Effect Monster,NA,NA
Foolish Burial,NA,Normal,Spell Card,Limited,Limited
Foolish Burial Goods,NA,Normal,Spell Card,NA,NA
Foolish Return,NA,Quick-Play,Spell Card,NA,NA
Foolish Revival,NA,Normal,Trap Card,NA,NA
Forbidden Apocrypha,NA,Normal,Trap Card,NA,NA
Forbidden Arts of the Gishki,NA,Ritual,Spell Card,NA,NA
Forbidden Chalice,NA,Quick-Play,Spell Card,NA,NA
Forbidden Dark Contract with the Swamp King,NA,Continuous,Spell Card,NA,NA
Forbidden Dress,NA,Quick-Play,Spell Card,NA,NA
Forbidden Droplet,NA,Quick-Play,Spell Card,NA,NA
Forbidden Lance,NA,Quick-Play,Spell Card,NA,NA
Forbidden Scripture,NA,Quick-Play,Spell Card,NA,NA
Forbidden Trapezohedron,NA,Normal,Spell Card,NA,NA
Force Resonator,WATER,Fiend,Tuner Monster,NA,NA
Forced Back,NA,Counter,Trap Card,NA,NA
Forced Ceasefire,NA,Normal,Trap Card,NA,NA
Forced Requisition,NA,Continuous,Trap Card,NA,NA
Forest,NA,Field,Spell Card,NA,NA
Forge of the True Dracos,NA,Normal,Spell Card,NA,NA
Forgotten Temple of the Deep,NA,Continuous,Trap Card,NA,NA
Form Change,NA,Quick-Play,Spell Card,NA,NA
Formation Union,NA,Normal,Trap Card,NA,NA
Formud Skipper,LIGHT,Cyberse,Effect Monster,NA,NA
Formula Synchron,LIGHT,Machine,Synchro Tuner Monster,NA,NA
Fortissimo,NA,Continuous,Spell Card,NA,NA
Fortissimo the Mobile Fortress,NA,Field,Spell Card,NA,NA
Fortress Warrior,EARTH,Warrior,Effect Monster,NA,NA
Fortress Whale,WATER,Fish,Ritual Monster,NA,NA
Fortress Whale's Oath,NA,Ritual,Spell Card,NA,NA
Fortune Chariot,LIGHT,Fairy,Union Effect Monster,NA,NA
Fortune Fairy Ann,DARK,Spellcaster,Effect Monster,NA,NA
Fortune Fairy Chee,EARTH,Spellcaster,Effect Monster,NA,NA
Fortune Fairy En,FIRE,Spellcaster,Effect Monster,NA,NA
Fortune Fairy Hikari,LIGHT,Spellcaster,Effect Monster,NA,NA
Fortune Fairy Hu,WIND,Spellcaster,Effect Monster,NA,NA
Fortune Fairy Swee,WATER,Spellcaster,Effect Monster,NA,NA
Fortune Lady Calling,NA,Normal,Spell Card,NA,NA
Fortune Lady Dark,DARK,Spellcaster,Effect Monster,NA,NA
Fortune Lady Earth,EARTH,Spellcaster,Effect Monster,NA,NA
Fortune Lady Every,LIGHT,Spellcaster,Synchro Monster,NA,NA
Fortune Lady Fire,FIRE,Spellcaster,Effect Monster,NA,NA
Fortune Lady Light,LIGHT,Spellcaster,Effect Monster,NA,NA
Fortune Lady Past,DARK,Spellcaster,Tuner Monster,NA,NA
Fortune Lady Rewind,NA,Normal,Trap Card,NA,NA
Fortune Lady Water,WATER,Spellcaster,Effect Monster,NA,NA
Fortune Lady Wind,WIND,Spellcaster,Effect Monster,NA,NA
Fortune Vision,NA,Continuous,Spell Card,NA,NA
Fortune's Future,NA,Normal,Spell Card,NA,NA
Fossil Dig,NA,Normal,Spell Card,NA,NA
Fossil Dragon Skullgar,EARTH,Rock,Fusion Monster,NA,NA
Fossil Dragon Skullgios,EARTH,Rock,Fusion Monster,NA,NA
Fossil Dyna Pachycephalo,EARTH,Rock,Effect Monster,NA,NA
Fossil Excavation,NA,Continuous,Trap Card,NA,NA
Fossil Fusion,NA,Normal,Spell Card,NA,NA
Fossil Machine Skull Buggy,EARTH,Rock,Fusion Monster,NA,NA
Fossil Machine Skull Convoy,EARTH,Rock,Fusion Monster,NA,NA
Fossil Machine Skull Wagon,EARTH,Rock,Fusion Monster,NA,NA
Fossil Tusker,EARTH,Rock,Effect Monster,NA,NA
Fossil Warrior Skull Bone,EARTH,Rock,Fusion Monster,NA,NA
Fossil Warrior Skull King,EARTH,Rock,Fusion Monster,NA,NA
Fossil Warrior Skull Knight,EARTH,Rock,Fusion Monster,NA,NA
Foucault's Cannon,DARK,Spellcaster,Pendulum Normal Monster,NA,NA
Fox Fire,FIRE,Pyro,Effect Monster,NA,NA
Fox Token,FIRE,Zombie,Token,NA,NA
Fragment Fusion,NA,Normal,Trap Card,NA,NA
Fragrance Storm,NA,Normal,Spell Card,NA,NA
Fraud Freeze,NA,Continuous,Trap Card,NA,NA
Free-Range Monsters,NA,Normal,Trap Card,NA,NA
Freed the Brave Wanderer,LIGHT,Warrior,Effect Monster,NA,NA
Freed the Matchless General,EARTH,Warrior,Effect Monster,NA,NA
Freezing Beast,WATER,Aqua,Union Effect Monster,NA,NA
Freezing Chains of the Ice Barrier,NA,Continuous,Spell Card,NA,NA
Frenzied Panda,EARTH,Beast,Normal Monster,NA,NA
Frequency Magician,LIGHT,Spellcaster,Tuner Monster,NA,NA
"Freya, Spirit of Victory",LIGHT,Fairy,Effect Monster,NA,NA
Frightfur Bear,DARK,Fiend,Fusion Monster,NA,NA
Frightfur Chimera,DARK,Fiend,Fusion Monster,NA,NA
Frightfur Cruel Whale,WATER,Fiend,Fusion Monster,NA,NA
Frightfur Daredevil,DARK,Fiend,Fusion Monster,NA,NA
Frightfur Factory,NA,Continuous,Spell Card,NA,NA
Frightfur Fusion,NA,Normal,Spell Card,NA,NA
Frightfur Jar,NA,Continuous,Trap Card,NA,NA
Frightfur Kraken,WATER,Fiend,Fusion Monster,NA,NA
Frightfur Leo,DARK,Fiend,Fusion Monster,NA,NA
Frightfur March,NA,Counter,Trap Card,NA,NA
Frightfur Meister,DARK,Fiend,Pendulum Effect Monster,NA,NA
Frightfur Patchwork,NA,Normal,Spell Card,NA,NA
Frightfur Reborn,NA,Normal,Spell Card,NA,NA
Frightfur Repair,NA,Normal,Spell Card,NA,NA
Frightfur Sabre-Tooth,DARK,Fiend,Fusion Monster,NA,NA
Frightfur Sanctuary,NA,Continuous,Spell Card,NA,NA
Frightfur Sheep,DARK,Fiend,Fusion Monster,NA,NA
Frightfur Tiger,DARK,Fiend,Fusion Monster,NA,NA
Frightfur Wolf,DARK,Fiend,Fusion Monster,NA,NA
Friller Rabca,WATER,Fish,Effect Monster,NA,NA
"Frodi, Generaider Boss of Swords",WIND,Warrior,Effect Monster,NA,NA
Froggy Forcefield,NA,Normal,Trap Card,NA,NA
Frontier Wiseman,EARTH,Spellcaster,Effect Monster,NA,NA
Frontline Base,NA,Continuous,Spell Card,NA,NA
Frontline Observer,EARTH,Machine,Effect Monster,NA,NA
Frost and Flame Dragon,WATER,Dragon,Effect Monster,NA,NA
Frost Blast of the Monarchs,NA,Normal,Spell Card,NA,NA
Frostosaurus,WATER,Dinosaur,Normal Monster,NA,NA
Frozen Fitzgerald,WATER,Fiend,Synchro Monster,NA,NA
Frozen Rose,NA,Quick-Play,Spell Card,NA,NA
Frozen Soul,NA,Normal,Trap Card,NA,NA
Fruits of Kozaky's Studies,NA,Normal,Trap Card,NA,NA
Fuh-Rin-Ka-Zan,NA,Normal,Trap Card,NA,NA
Fuhma Shuriken,NA,Equip,Spell Card,NA,NA
Fuhma Wave,NA,Normal,Trap Card,NA,NA
Fukubiki,NA,Normal,Trap Card,NA,NA
Fulfillment of the Contract,NA,Equip,Spell Card,NA,NA
Full Armored Black Ray Lancer,WATER,Beast-Warrior,XYZ Monster,NA,NA
Full Armored Crystalzero Lancer,WATER,Warrior,XYZ Monster,NA,NA
Full Force Virus,NA,Normal,Trap Card,NA,NA
Full House,NA,Normal,Trap Card,NA,NA
Full Salvo,NA,Normal,Trap Card,NA,NA
Full-Force Strike,NA,Normal,Spell Card,NA,NA
Fullmetalfoes Alkahest,FIRE,Psychic,Fusion Monster,NA,NA
Fullmetalfoes Fusion,NA,Quick-Play,Spell Card,NA,NA
Fungi of the Musk,DARK,Fiend,Normal Monster,NA,NA
Fury of Fire,NA,Normal,Spell Card,NA,NA
Fury of Kairyu-Shin,NA,Normal,Spell Card,NA,NA
