name,attribute,class,type,ban_tcg,ban_ocg
Crystron Quariongandrax,WATER,Machine,Synchro Monster,NA,NA
Crystron Rion,WATER,Machine,Tuner Monster,NA,NA
Crystron Rosenix,WATER,Machine,Effect Monster,NA,NA
Crystron Smiger,WATER,Machine,Effect Monster,NA,NA
Crystron Sulfefnir,WATER,Machine,Effect Monster,NA,NA
Crystron Thystvern,WATER,Machine,Effect Monster,NA,NA
Crystron Token,WATER,Machine,Token,NA,NA
Cu Chulainn the Awakened,LIGHT,Warrior,Ritual Effect Monster,NA,NA
Cuben,LIGHT,Thunder,Effect Monster,NA,NA
Cubic Ascension,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cubic Causality,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cubic Dharma,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Cubic Karma,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Cubic Mandala,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Cubic Rebirth,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cubic Wave,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cunning of the Six Samurai,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Cup of Ace,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cupid Dunk,LIGHT,Fairy,Effect Monster,NA,NA
Cupid Fore,LIGHT,Fairy,Effect Monster,NA,NA
Cupid Serve,LIGHT,Fairy,Effect Monster,NA,NA
Cupid Volley,LIGHT,Fairy,Effect Monster,NA,NA
Cure Mermaid,WATER,Fish,Effect Monster,NA,NA
"Curious, the Lightsworn Dominion",LIGHT,Warrior,Link Monster,NA,NA
Curse Necrofear,DARK,Fiend,Effect Monster,NA,NA
Curse of Aging,SPELL/TRAP,Normal,Normal Trap,NA,NA
Curse of Anubis,SPELL/TRAP,Normal,Normal Trap,NA,NA
Curse of Darkness,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Curse of Dragon,DARK,Dragon,Normal Monster,NA,NA
"Curse of Dragon, the Cursed Dragon",DARK,Dragon,Effect Monster,NA,NA
"Curse of Dragon, the Magical Knight Dragon",DARK,Dragon,Fusion Monster,NA,NA
Curse of Dragonfire,DARK,Dragon,Effect Monster,NA,NA
Curse of Fiend,SPELL/TRAP,Normal,Normal Spell,NA,NA
Curse of Royal,SPELL/TRAP,Counter,Counter Trap,NA,NA
Curse of the Circle,SPELL/TRAP,Normal,Normal Trap,NA,NA
Curse of the Masked Beast,SPELL/TRAP,Ritual,Ritual Spell,NA,NA
Curse of the Shadow Prison,SPELL/TRAP,Field,Field Spell,NA,NA
"Curse, Dawn of the Abhyss",LIGHT,Reptile,Effect Monster,NA,NA
Cursed Armaments,SPELL/TRAP,Equip,Equip Spell,NA,NA
Cursed Bamboo Sword,SPELL/TRAP,Equip,Equip Spell,NA,NA
Cursed Bill,SPELL/TRAP,Equip,Equip Spell,NA,NA
Cursed Eldland,SPELL/TRAP,Continuous,Continuous Spell,NA,Semi-Limited
Cursed Fig,WATER,Plant,Effect Monster,NA,NA
Cursed Seal of the Forbidden Spell,SPELL/TRAP,Counter,Counter Trap,NA,NA
Curtain of the Dark Ones,DARK,Spellcaster,Normal Monster,NA,NA
CXyz Barian Hope,LIGHT,Warrior,XYZ Monster,NA,NA
CXyz Battleship Cherry Blossom,EARTH,Plant,XYZ Monster,NA,NA
CXyz Coach Lord Ultimatrainer,FIRE,Warrior,XYZ Monster,NA,NA
CXyz Comics Hero Legend Arthur,EARTH,Warrior,XYZ Monster,NA,NA
CXyz Dark Fairy Cheer Girl,DARK,Fairy,XYZ Monster,NA,NA
CXyz Mechquipped Djinn Angeneral,DARK,Fairy,XYZ Monster,NA,NA
CXyz Simon the Great Moral Leader,LIGHT,Spellcaster,XYZ Monster,NA,NA
CXyz Skypalace Babylon,WIND,Machine,XYZ Monster,NA,NA
Cyber Angel Benten,LIGHT,Fairy,Ritual Effect Monster,Limited,NA
Cyber Angel Dakini,LIGHT,Fairy,Ritual Effect Monster,NA,NA
Cyber Angel Idaten,LIGHT,Fairy,Ritual Effect Monster,NA,NA
Cyber Angel Izana,LIGHT,Fairy,Ritual Effect Monster,NA,NA
Cyber Angel Natasha,LIGHT,Fairy,Ritual Effect Monster,NA,NA
Cyber Angel Vrash,LIGHT,Fairy,Ritual Effect Monster,NA,NA
Cyber Archfiend,DARK,Fiend,Effect Monster,NA,NA
Cyber Barrier Dragon,LIGHT,Machine,Effect Monster,NA,NA
Cyber Blader,EARTH,Warrior,Fusion Monster,NA,NA
Cyber Commander,DARK,Machine,Normal Monster,NA,NA
Cyber Dinosaur,LIGHT,Machine,Effect Monster,NA,NA
Cyber Dragon,LIGHT,Machine,Effect Monster,NA,NA
Cyber Dragon Core,LIGHT,Machine,Effect Monster,NA,NA
Cyber Dragon Drei,LIGHT,Machine,Effect Monster,NA,NA
Cyber Dragon Herz,LIGHT,Machine,Effect Monster,NA,NA
Cyber Dragon Infinity,LIGHT,Machine,XYZ Monster,NA,NA
Cyber Dragon Nachster,LIGHT,Machine,Effect Monster,NA,NA
Cyber Dragon Nova,LIGHT,Machine,XYZ Monster,NA,NA
Cyber Dragon Sieger,LIGHT,Machine,Link Monster,NA,NA
Cyber Dragon Vier,LIGHT,Machine,Effect Monster,NA,NA
Cyber Dragon Zwei,LIGHT,Machine,Effect Monster,NA,NA
Cyber Egg Angel,LIGHT,Fairy,Effect Monster,NA,NA
Cyber Eltanin,LIGHT,Machine,Effect Monster,NA,NA
Cyber Emergency,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cyber End Dragon,LIGHT,Machine,Fusion Monster,NA,NA
Cyber Energy Shock,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Cyber Esper,FIRE,Machine,Effect Monster,NA,NA
Cyber Eternity Dragon,LIGHT,Machine,Fusion Monster,NA,NA
Cyber Falcon,WIND,Machine,Normal Monster,NA,NA
Cyber Gymnast,EARTH,Warrior,Effect Monster,NA,NA
Cyber Harpie Lady,WIND,Winged Beast,Effect Monster,NA,NA
Cyber Jar,DARK,Rock,Flip Effect Monster,Banned,Banned
Cyber Kirin,LIGHT,Machine,Effect Monster,NA,NA
Cyber Larva,LIGHT,Machine,Effect Monster,NA,NA
Cyber Laser Dragon,LIGHT,Machine,Effect Monster,NA,NA
Cyber Network,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Cyber Ogre,EARTH,Machine,Effect Monster,NA,NA
Cyber Ogre 2,EARTH,Machine,Fusion Monster,NA,NA
Cyber Ouroboros,DARK,Machine,Effect Monster,NA,NA
Cyber Petit Angel,LIGHT,Fairy,Effect Monster,NA,NA
Cyber Pharos,LIGHT,Machine,Effect Monster,NA,NA
Cyber Phoenix,FIRE,Machine,Effect Monster,NA,NA
Cyber Prima,LIGHT,Warrior,Effect Monster,NA,NA
Cyber Raider,DARK,Machine,Effect Monster,NA,NA
Cyber Repair Plant,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cyber Revsystem,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cyber Saurus,EARTH,Machine,Fusion Monster,NA,NA
Cyber Shadow Gardna,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Cyber Shark,WATER,Fish,Effect Monster,NA,NA
Cyber Shield,SPELL/TRAP,Equip,Equip Spell,NA,NA
Cyber Slash Harpie Lady,WIND,Winged Beast,Synchro Monster,NA,NA
Cyber Soldier,DARK,Machine,Normal Monster,NA,NA
Cyber Soldier of Darkworld,DARK,Machine,Normal Monster,NA,NA
Cyber Summon Blaster,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Cyber Tutu,EARTH,Warrior,Effect Monster,NA,NA
Cyber Tutubon,EARTH,Warrior,Effect Monster,NA,NA
Cyber Twin Dragon,LIGHT,Machine,Fusion Monster,NA,NA
Cyber Valley,LIGHT,Machine,Effect Monster,NA,NA
Cyber-Stein,DARK,Machine,Effect Monster,Limited,Limited
Cyber-Tech Alligator,WIND,Machine,Normal Monster,NA,NA
Cyberdark Cannon,DARK,Dragon,Effect Monster,NA,NA
Cyberdark Claw,DARK,Dragon,Effect Monster,NA,NA
Cyberdark Dragon,DARK,Machine,Fusion Monster,NA,NA
Cyberdark Edge,DARK,Machine,Effect Monster,NA,NA
Cyberdark End Dragon,DARK,Machine,Fusion Monster,NA,NA
Cyberdark Horn,DARK,Machine,Effect Monster,NA,NA
Cyberdark Impact!,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cyberdark Inferno,SPELL/TRAP,Field,Field Spell,NA,NA
Cyberdark Keel,DARK,Machine,Effect Monster,NA,NA
Cyberdarkness Dragon,DARK,Machine,Fusion Monster,NA,NA
Cyberload Fusion,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Cybernetic Cyclopean,EARTH,Beast-Warrior,Effect Monster,NA,NA
Cybernetic Fusion Support,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Cybernetic Hidden Technology,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Cybernetic Horizon,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cybernetic Magician,LIGHT,Spellcaster,Effect Monster,NA,NA
Cybernetic Overflow,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cybernetic Revolution,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cybernetic Zone,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Cybersal Cyclone,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Cyberse Accelerator,LIGHT,Cyberse,Link Monster,NA,NA
Cyberse Beacon,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cyberse Clock Dragon,DARK,Cyberse,Fusion Monster,NA,NA
Cyberse Converter,LIGHT,Cyberse,Effect Monster,NA,NA
Cyberse Enchanter,LIGHT,Cyberse,Link Monster,NA,NA
Cyberse Gadget,LIGHT,Cyberse,Effect Monster,NA,NA
Cyberse Integrator,LIGHT,Cyberse,Synchro Monster,NA,NA
Cyberse Magician,DARK,Cyberse,Ritual Effect Monster,NA,NA
Cyberse Quantum Dragon,DARK,Cyberse,Synchro Monster,NA,NA
Cyberse Reminder,LIGHT,Cyberse,XYZ Monster,NA,NA
Cyberse Synchron,DARK,Cyberse,Tuner Monster,NA,NA
Cyberse White Hat,LIGHT,Cyberse,Effect Monster,NA,NA
Cyberse Wicckid,DARK,Cyberse,Link Monster,NA,NA
Cyberse Witch,DARK,Cyberse,Link Monster,NA,NA
Cyberse Wizard,LIGHT,Cyberse,Effect Monster,NA,NA
Cyborg Doctor,EARTH,Spellcaster,Effect Monster,NA,NA
Cyclamen the Rikka Fairy,WATER,Plant,Effect Monster,NA,NA
Cycle of the World,SPELL/TRAP,Ritual,Ritual Spell,NA,NA
Cyclon Laser,SPELL/TRAP,Equip,Equip Spell,NA,NA
Cyclone Blade,SPELL/TRAP,Equip,Equip Spell,NA,NA
Cyclone Boomerang,SPELL/TRAP,Equip,Equip Spell,NA,NA
Cycroid,EARTH,Machine,Normal Monster,NA,NA
Cynet Backdoor,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Cynet Cascade,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cynet Codec,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Cynet Conflict,SPELL/TRAP,Counter,Counter Trap,NA,NA
Cynet Crosswipe,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Cynet Fusion,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cynet Mining,SPELL/TRAP,Normal,Normal Spell,NA,NA
Cynet Optimization,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Cynet Recovery,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Cynet Refresh,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cynet Regression,SPELL/TRAP,Normal,Normal Trap,NA,NA
Cynet Ritual,SPELL/TRAP,Ritual,Ritual Spell,NA,NA
Cynet Storm,SPELL/TRAP,Field,Field Spell,NA,NA
Cynet Universe,SPELL/TRAP,Field,Field Spell,NA,NA
D - Chain,SPELL/TRAP,Normal,Normal Trap,NA,NA
D - Counter,SPELL/TRAP,Normal,Normal Trap,NA,NA
D - Formation,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
D - Fortune,SPELL/TRAP,Normal,Normal Trap,NA,NA
D - Shield,SPELL/TRAP,Normal,Normal Trap,NA,NA
D - Spirit,SPELL/TRAP,Normal,Normal Spell,NA,NA
D - Tactics,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
D - Time,SPELL/TRAP,Normal,Normal Trap,NA,NA
D Cubed,DARK,Machine,Effect Monster,NA,NA
D-Boyz,DARK,Fiend,Flip Effect Monster,NA,NA
D-Fusion,SPELL/TRAP,Normal,Normal Trap,NA,NA
D. Human,EARTH,Warrior,Normal Monster,NA,NA
D. Tribe,SPELL/TRAP,Normal,Normal Trap,NA,NA
D.3.S. Frog,WATER,Aqua,Fusion Monster,NA,NA
D.D. Assailant,EARTH,Warrior,Effect Monster,NA,NA
D.D. Borderline,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
D.D. Crazy Beast,EARTH,Beast,Effect Monster,NA,NA
D.D. Crow,DARK,Winged Beast,Effect Monster,NA,NA
D.D. Designator,SPELL/TRAP,Normal,Normal Spell,NA,NA
D.D. Destroyer,EARTH,Warrior,Effect Monster,NA,NA
D.D. Dynamite,SPELL/TRAP,Normal,Normal Trap,NA,NA
D.D. Esper Star Sparrow,LIGHT,Warrior,Effect Monster,NA,NA
D.D. Guide,DARK,Warrior,Effect Monster,NA,NA
D.D. Jet Iron,LIGHT,Machine,Effect Monster,NA,NA
D.D. Patrol Plane,DARK,Machine,Effect Monster,NA,NA
D.D. Scout Plane,DARK,Machine,Effect Monster,NA,NA
D.D. Seeker,DARK,Psychic,Effect Monster,NA,NA
D.D. Sprite,LIGHT,Fairy,Tuner Monster,NA,NA
D.D. Survivor,DARK,Warrior,Effect Monster,NA,NA
D.D. Telepon,EARTH,Psychic,Effect Monster,NA,NA
D.D. Trainer,DARK,Fiend,Normal Monster,NA,NA
D.D. Trap Hole,SPELL/TRAP,Normal,Normal Trap,NA,NA
D.D. Unicorn Knight,LIGHT,Warrior,Effect Monster,NA,NA
D.D. Warrior,EARTH,Warrior,Effect Monster,NA,NA
D.D. Warrior Lady,LIGHT,Warrior,Effect Monster,NA,NA
D.D.M. - Different Dimension Master,LIGHT,Spellcaster,Effect Monster,NA,NA
D.D.R. - Different Dimension Reincarnation,SPELL/TRAP,Equip,Equip Spell,NA,NA
D/D Ark,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Berfomet,DARK,Fiend,Effect Monster,NA,NA
D/D Cerberus,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Dog,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Evil,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Ghost,DARK,Fiend,Tuner Monster,NA,NA
D/D Lamia,DARK,Fiend,Tuner Monster,NA,NA
D/D Lilith,DARK,Fiend,Effect Monster,NA,NA
D/D Necro Slime,DARK,Fiend,Effect Monster,NA,NA
D/D Nighthowl,DARK,Fiend,Tuner Monster,NA,NA
D/D Orthros,DARK,Fiend,Pendulum Tuner Effect Monster,NA,NA
D/D Pandora,DARK,Fiend,Effect Monster,NA,NA
D/D Proud Chevalier,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Proud Ogre,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Recruits,SPELL/TRAP,Normal,Normal Trap,NA,NA
D/D Reroll,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
D/D Savant Copernicus,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Savant Galilei,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Savant Kepler,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Savant Newton,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Savant Nikola,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Savant Thomas,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D Swirl Slime,DARK,Fiend,Effect Monster,NA,NA
D/D Vice Typhon,DARK,Fiend,Effect Monster,NA,NA
D/D/D Abyss King Gilgamesh,DARK,Fiend,Link Monster,NA,NA
D/D/D Chaos King Apocalypse,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D/D Contract Change,SPELL/TRAP,Normal,Normal Trap,NA,NA
D/D/D Cursed King Siegfried,DARK,Fiend,Synchro Monster,NA,NA
D/D/D Destiny King Zero Laplace,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D/D Doom King Armageddon,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D/D Dragon King Pendragon,DARK,Fiend,Effect Monster,NA,NA
D/D/D Dragonbane King Beowulf,DARK,Fiend,Fusion Monster,NA,NA
D/D/D Duo-Dawn King Kali Yuga,DARK,Fiend,XYZ Monster,NA,NA
D/D/D Eulogy King Vice Requiem,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D/D Flame High King Genghis,FIRE,Fiend,Fusion Monster,NA,NA
D/D/D Flame King Genghis,FIRE,Fiend,Fusion Monster,NA,NA
D/D/D Gust High King Alexander,WIND,Fiend,Synchro Monster,NA,NA
D/D/D Gust King Alexander,WIND,Fiend,Synchro Monster,NA,NA
D/D/D Human Resources,SPELL/TRAP,Normal,Normal Trap,NA,NA
D/D/D Marksman King Tell,DARK,Fiend,XYZ Monster,NA,NA
D/D/D Oblivion King Abyss Ragnarok,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D/D Oracle King d'Arc,DARK,Fiend,Fusion Monster,NA,NA
D/D/D Rebel King Leonidas,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D/D Stone King Darius,EARTH,Fiend,XYZ Monster,NA,NA
D/D/D Super Doom King Bright Armageddon,DARK,Fiend,Synchro Pendulum Effect Monster,NA,NA
D/D/D Super Doom King Dark Armageddon,DARK,Fiend,XYZ Pendulum Effect Monster,NA,NA
D/D/D Super Doom King Purple Armageddon,DARK,Fiend,Pendulum Effect Fusion Monster,NA,NA
D/D/D Supersight King Zero Maxwell,DARK,Fiend,Pendulum Effect Monster,NA,NA
D/D/D Supreme King Kaiser,DARK,Fiend,Effect Monster,NA,NA
D/D/D Wave High King Caesar,WATER,Fiend,XYZ Monster,NA,NA
D/D/D Wave King Caesar,WATER,Fiend,XYZ Monster,NA,NA
D/D/D Wave Oblivion King Caesar Ragnarok,DARK,Fiend,Fusion Monster,NA,NA
D2 Shield,SPELL/TRAP,Normal,Normal Trap,NA,NA
Dai Dance,SPELL/TRAP,Normal,Normal Trap,NA,NA
Dai-sojo of the Ice Barrier,WATER,Spellcaster,Effect Monster,NA,NA
Daigusto Eguls,WIND,Psychic,Synchro Monster,NA,NA
Daigusto Emeral,WIND,Rock,XYZ Monster,Limited,NA
Daigusto Falcos,WIND,Psychic,Synchro Monster,NA,NA
Daigusto Gulldos,WIND,Psychic,Synchro Monster,NA,NA
Daigusto Phoenix,WIND,Pyro,XYZ Monster,NA,NA
Daigusto Sphreez,WIND,Psychic,Synchro Monster,NA,NA
"Dakki, the Graceful Mayakashi",FIRE,Zombie,Tuner Monster,NA,NA
Damage = Reptile,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Damage Condenser,SPELL/TRAP,Normal,Normal Trap,NA,NA
Damage Diet,SPELL/TRAP,Normal,Normal Trap,NA,NA
Damage Eater,DARK,Fiend,Effect Monster,NA,NA
Damage Gate,SPELL/TRAP,Normal,Normal Trap,NA,NA
Damage Mage,DARK,Spellcaster,Effect Monster,NA,NA
Damage Polarizer,SPELL/TRAP,Counter,Counter Trap,NA,NA
Damage Translation,SPELL/TRAP,Normal,Normal Trap,NA,NA
Damage Vaccine Omega MAX,SPELL/TRAP,Normal,Normal Trap,NA,NA
Dance Princess of the Ice Barrier,WATER,Spellcaster,Effect Monster,NA,NA
Dance Princess of the Nekroz,WATER,Spellcaster,Effect Monster,NA,NA
Dances with Beasts,SPELL/TRAP,Normal,Normal Trap,NA,NA
Dancing Elf,WIND,Fairy,Normal Monster,NA,NA
Dancing Fairy,WIND,Fairy,Effect Monster,NA,NA
Dandylion,EARTH,Plant,Effect Monster,Banned,Banned
Danger! Bigfoot!,DARK,Beast,Effect Monster,NA,NA
Danger! Chupacabra!,DARK,Fiend,Effect Monster,NA,NA
Danger! Disaster!,SPELL/TRAP,Field,Field Spell,NA,NA
Danger! Dogman!,DARK,Beast-Warrior,Effect Monster,NA,NA
Danger! Excitement! Mystery!,SPELL/TRAP,Normal,Normal Spell,NA,NA
Danger! Feets of Strength!,SPELL/TRAP,Equip,Equip Spell,NA,NA
Danger! Mothman!,DARK,Insect,Effect Monster,NA,NA
Danger! Nessie!,DARK,Aqua,Effect Monster,Limited,Semi-Limited
Danger! Ogopogo!,DARK,Sea Serpent,Effect Monster,NA,NA
Danger! Response Team,SPELL/TRAP,Normal,Normal Spell,NA,NA
Danger! Thunderbird!,DARK,Winged Beast,Effect Monster,NA,NA
Danger! Zone,SPELL/TRAP,Normal,Normal Trap,NA,NA
Danger!? Jackalope?,DARK,Beast,Effect Monster,Limited,Semi-Limited
Danger!? Tsuchinoko?,DARK,Reptile,Effect Monster,Limited,NA
Dangerous Frightfur Nightmary,DARK,Fiend,Fusion Monster,NA,NA
Dangerous Machine Type-6,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Danipon,EARTH,Insect,Effect Monster,NA,NA
Danmari @Ignister,DARK,Cyberse,Effect Monster,NA,NA
"Dante, Pilgrim of the Burning Abyss",LIGHT,Fairy,Fusion Monster,NA,NA
"Dante, Traveler of the Burning Abyss",LIGHT,Warrior,XYZ Monster,NA,NA
Dark Advance,SPELL/TRAP,Normal,Normal Trap,NA,NA
Dark Alligator,DARK,Reptile,Effect Monster,NA,NA
Dark Angel,DARK,Fairy,Effect Monster,NA,NA
Dark Anthelion Dragon,DARK,Dragon,XYZ Pendulum Effect Monster,NA,NA
Dark Armed Dragon,DARK,Dragon,Effect Monster,NA,NA
"Dark Armed, the Dragon of Annihilation",DARK,Dragon,XYZ Monster,NA,NA
Dark Artist,DARK,Fiend,Effect Monster,NA,NA
Dark Assailant,DARK,Zombie,Normal Monster,NA,NA
Dark Balter the Terrible,DARK,Fiend,Fusion Monster,NA,NA
Dark Bat,WIND,Winged Beast,Normal Monster,NA,NA
Dark Beckoning Beast,DARK,Fiend,Effect Monster,NA,NA
Dark Blade,DARK,Warrior,Normal Monster,NA,NA
Dark Blade the Captain of the Evil World,DARK,Warrior,Effect Monster,NA,NA
Dark Blade the Dragon Knight,DARK,Warrior,Fusion Monster,NA,NA
Dark Bribe,SPELL/TRAP,Counter,Counter Trap,NA,NA
Dark Bug,DARK,Insect,Effect Monster,NA,NA
Dark Burning Attack,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Burning Magic,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Dark Calling,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Cat with White Tail,EARTH,Beast,Flip Effect Monster,NA,NA
Dark Catapulter,EARTH,Machine,Effect Monster,NA,NA
Dark Cavalry,DARK,Spellcaster,Fusion Monster,NA,NA
Dark Chimera,DARK,Fiend,Normal Monster,NA,NA
Dark City,SPELL/TRAP,Field,Field Spell,NA,NA
Dark Coffin,SPELL/TRAP,Normal,Normal Trap,NA,NA
Dark Contract with Errors,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Dark Contract with the Entities,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Dark Contract with the Eternal Darkness,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Dark Contract with the Gate,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Dark Contract with the Swamp King,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Dark Contract with the Witch,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Dark Contract with the Yamimakai,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Dark Core,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Crusader,DARK,Warrior,Effect Monster,NA,NA
Dark Cure,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Dark Deal,SPELL/TRAP,Normal,Normal Trap,NA,NA
Dark Desertapir,EARTH,Beast,Effect Monster,NA,NA
Dark Designator,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Diviner,DARK,Fiend,Synchro Monster,NA,NA
Dark Doriado,DARK,Spellcaster,Pendulum Effect Monster,NA,NA
Dark Dragon Ritual,SPELL/TRAP,Ritual,Ritual Spell,NA,NA
Dark Driceratops,EARTH,Dinosaur,Effect Monster,NA,NA
Dark Dust Spirit,EARTH,Zombie,Spirit Monster,NA,NA
Dark Effigy,DARK,Fiend,Effect Monster,NA,NA
Dark Elf,DARK,Spellcaster,Effect Monster,NA,NA
Dark End Dragon,DARK,Dragon,Synchro Monster,NA,NA
Dark Energy,SPELL/TRAP,Equip,Equip Spell,NA,NA
Dark Eradicator Warlock,DARK,Spellcaster,Effect Monster,NA,NA
Dark Eruption,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Factory of Mass Production,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Factory of More Production,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Dark Flare Knight,DARK,Warrior,Fusion Monster,NA,NA
Dark Flattop,DARK,Machine,Synchro Monster,NA,NA
Dark Fusion,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Garnex the Cubic Beast,EARTH,Beast,Effect Monster,NA,NA
Dark General Freed,DARK,Warrior,Effect Monster,NA,NA
Dark Gray,EARTH,Beast,Normal Monster,NA,NA
Dark Grepher,DARK,Warrior,Effect Monster,Limited,NA
Dark Highlander,DARK,Fiend,Synchro Monster,NA,NA
Dark Hole,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Honest,DARK,Fairy,Effect Monster,NA,NA
Dark Horizon,SPELL/TRAP,Normal,Normal Trap,NA,NA
Dark Horus,DARK,Dragon,Effect Monster,NA,NA
Dark Hunter,DARK,Fiend,Effect Monster,NA,NA
Dark Illusion,SPELL/TRAP,Counter,Counter Trap,NA,NA
Dark Infant @Ignister,DARK,Cyberse,Link Monster,NA,NA
Dark Jeroid,DARK,Fiend,Effect Monster,NA,NA
Dark King of the Abyss,DARK,Fiend,Normal Monster,NA,NA
Dark Lucius LV4,EARTH,Fiend,Effect Monster,NA,NA
Dark Lucius LV6,EARTH,Fiend,Effect Monster,NA,NA
Dark Lucius LV8,EARTH,Fiend,Effect Monster,NA,NA
Dark Magic Attack,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Magic Curtain,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Magic Expanded,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Dark Magic Inheritance,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Dark Magic Twin Burst,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Magic Veil,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Magical Circle,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Dark Magician,DARK,Spellcaster,Normal Monster,NA,NA
Dark Magician Girl,DARK,Spellcaster,Effect Monster,NA,NA
Dark Magician Girl the Dragon Knight,DARK,Dragon,Fusion Monster,NA,NA
Dark Magician Knight,DARK,Warrior,Effect Monster,NA,NA
Dark Magician of Chaos,DARK,Spellcaster,Effect Monster,NA,NA
Dark Magician the Dragon Knight,DARK,Dragon,Fusion Monster,NA,NA
Dark Mambele,SPELL/TRAP,Normal,Normal Spell,NA,NA
Dark Master - Zorc,DARK,Fiend,Ritual Effect Monster,NA,NA
